R|0abbr|RSC|RSC-1|NNXX@|NNNXX-----@----|N|B|t|(referree_stopped_contest)
R|yccr|devětadvacát|devětadvacátý|0|0|C|0|0|0
R|yccr|dvaadvacát|dvaadvacátý|0|0|C|0|0|0
R|yccr|dvacát|dvacátý|0|0|C|0|0|0
R|yccr|dvanáct|dvanáctý|0|0|C|0|0|0
R|yccr|jedenadvacát|jedenadvacátý|0|0|C|0|0|0
R|yccr|jednadvacát|jednadvacátý|0|0|C|0|0|0
R|yccr|osmadvacát|osmadvacátý|0|0|C|0|0|0
R|yccr|pětadvacát|pětadvacátý|0|0|C|0|0|0
R|yccr|sedmadvacát|sedmadvacátý|0|0|C|0|0|0
R|yccr|třiadvacát|třiadvacátý|0|0|C|0|0|0
R|yccr|šestadvacát|šestadvacátý|0|0|C|0|0|0
R|yccr|čtyřiadvacát|čtyřiadvacátý|0|0|C|0|0|0
R|yxx|dvanáctičlenn|dvanáctičlenný|0|0|A|0|0|0
R|y|devětadvacetilet|devětadvacetiletý|0|0|A|0|0|0
R|y|dvaadvacetilet|dvaadvacetiletý|0|0|A|0|0|0
R|y|dvaapadesátilet|dvaapadesátiletý|0|0|A|0|0|0
R|y|dvaasedmdesátilet|dvaasedmdesátiletý|0|0|A|0|0|0
R|y|dvaatřicetilet|dvaatřicetiletý|0|0|A|0|0|0
R|y|dvaašedesátilet|dvaašedesátiletý|0|0|A|0|0|0
R|y|dvaačtyřicetilet|dvaačtyřicetiletý|0|0|A|0|0|0
R|y|dvacetikilometrov|dvacetikilometrový|0|0|A|0|0|0
R|y|dvacetilet|dvacetiletý|0|0|A|0|0|0
R|y|dvacetiminutov|dvacetiminutový|0|0|A|0|0|0
R|y|dvacetitisícov|dvacetitisícový|0|0|A|0|0|0
R|y|dvacetičlenn|dvacetičlenný|0|0|A|0|0|0
R|y|dvanáctihodinov|dvanáctihodinový|0|0|A|0|0|0
R|y|dvanáctilet|dvanáctiletý|0|0|A|0|0|0
R|y|dvanáctistupňov|dvanáctistupňový|0|0|A|0|0|0
R|y|jedenadvacetilet|jedenadvacetiletý|0|0|A|0|0|0
R|y|jednadvacetilet|jednadvacetiletý|0|0|A|0|0|0
R|y|osmadvacetilet|osmadvacetiletý|0|0|A|0|0|0
R|y|pětadvacetilet|pětadvacetiletý|0|0|A|0|0|0
R|y|sedmadvacetilet|sedmadvacetiletý|0|0|A|0|0|0
R|y|třiadvacetilet|třiadvacetiletý|0|0|A|0|0|0
R|y|šestadvacetilet|šestadvacetiletý|0|0|A|0|0|0
R|y|čtyřiadvacetihodinov|čtyřiadvacetihodinový|0|0|A|0|0|0
R|y|čtyřiadvacetilet|čtyřiadvacetiletý|0|0|A|0|0|0
R|zn1|dvacetikorun|dvacetikoruna|0|0|N|0|0|0
R|zn4|odva|odvaha|0|0|N|0|0|0
R|zn6e|dvacetiminutov|dvacetiminutovka|0|0|N|0|0|0
R|zn6e|dvacít|dvacítka|0|0|N|0|0|0
R|zn6e|dvanáct|dvanáctka|0|0|N|0|0|0
R|zn6e|jedenadvacít|jedenadvacítka`21|0|0|N|0|0|0
R|zn6e|jednadvacít|jednadvacítka|0|0|N|0|0|0
R|zn6e|stopětadvacít|stopětadvacítka|0|0|N|0|0|0
R|0abbr|As|As-2|NIXX@|NNIXX-----@----|N|B|t|(altostratus,_druh_oblaků)
R|0abbr|CHKO|CHKO-1|NFXX@-8|NNFXX-----@---8|N|Bzy|0|(chráněná_krajinná_oblast)
R|0abbr|pe|pe-1|NIXX@|NNIXX-----@----|N|B|t|(perlucidus,_průhledný,_druh_oblaku)
R|0abbr|ra|ra-1|NIXX@|NNIXX-----@----|N|B|t|(radiatus,_druh_oblaku)
R|0n|blaze|blaze|DG1@|Dg-------1@----|D|0|0|0
R|0|Casablanca|Casablanca|0|0|0|G|0|0
R|0|Casablance|Casablanca|0|0|0|G|0|0
R|0|Casablancou|Casablanca|0|0|0|G|0|0
R|0|Casablanco|Casablanca|0|0|0|G|0|0
R|0|Casablancu|Casablanca|0|0|0|G|0|0
R|0|Casablancy|Casablanca|0|0|0|G|0|0
R|0|Casablankou|Casablanca|0|0|0|G|0|0
R|0|Casablanko|Casablanca|0|0|0|G|0|0
R|0|Casablanku|Casablanca|0|0|0|G|0|0
R|0|Casablanky|Casablanca|0|0|0|G|0|0
R|0|Koblasa|Koblasa|0|0|0|S|0|0
R|0|Stýbla|Stýblo|0|0|0|S|0|0
R|0|Stýbla|Stýblo|NMS2@|NNMS2-----@----|N|S|0|0
R|0|Stýbla|Stýblo|NMS4@|NNMS4-----@----|N|S|0|0
R|0|blanami|blána|0|0|N|0|0|0
R|0|blanche|blanche|0|0|0|0|t|0
R|0|blanou|blána|0|0|N|0|0|0
R|0|blan|blána|0|0|0|0|0|0
R|0|blan|blána|0|0|N|0|0|0
R|0|blanách|blána|0|0|N|0|0|0
R|0|blanám|blána|0|0|N|0|0|0
R|0|oblaka|oblak|NNP1@|NNNP1-----@----|N|0|0|0
R|0|oblaka|oblak|NNP4@|NNNP4-----@----|N|0|0|0
R|0|oblaka|oblak|NNP5@|NNNP5-----@----|N|0|0|0
R|0|ďábla|ďábel|NMS2@|NNMS2-----@----|N|0|0|0
R|0|ďábla|ďábel|NMS4@|NNMS4-----@----|N|0|0|0
R|adv1|oblačno|oblačno-2|0|0|D|0|0|(být_oblačno)
R|adv23|oblačně|oblačno-2|0|0|D|0|0|(být_oblačno)
R|atn|bubl|bublat|0|0|T|0|0|0
R|cky|blani|blanický|0|0|A|0|0|0
R|cky|podblani|podblanický|0|0|A|0|0|0
R|hd1k|blafá|blafák|0|0|N|0|0|0
R|hd1k|blafá|blafák|0|0|N|0|l|0
R|hd1k|blatní|blatník|0|0|N|0|0|0
R|hd1k|obla|oblak|0|0|N|0|0|0
R|hd1|gap|gap-1|0|0|N|0|0|(poškozená_oblast_chromozomu)
